"Relative Time (Process)","ConvNext_Large_Base - system/gpu.0.powerWatts","ConvNext_Large_Base - system/gpu.0.powerWatts__MIN","ConvNext_Large_Base - system/gpu.0.powerWatts__MAX"
"4631.046548567","303.627","303.627","303.627"
"4641.057378464","144.624","144.624","144.624"
"4651.094280366","140.577","140.577","140.577"
"4661.046538524","136.484","136.484","136.484"
"4671.046771739","620.311","620.311","620.311"
"4681.047647507","615.787","615.787","615.787"
"4691.047016722","612.812","612.812","612.812"
"4701.046407442","618.894","618.894","618.894"
"4711.0948379","614.071","614.071","614.071"
"4721.046286396","620.882","620.882","620.882"
"4731.04633362","615.581","615.581","615.581"
"4741.1179298","638.056","638.056","638.056"
"4751.046357027","623.748","623.748","623.748"
"4761.088022935","621.965","621.965","621.965"
"4771.089660219","623.513","623.513","623.513"
"4781.047066032","215.699","215.699","215.699"
"4791.04685677","146.729","146.729","146.729"
"4801.04610606","141.316","141.316","141.316"
"4811.047174155","616.596","616.596","616.596"
"4821.059885092","615.095","615.095","615.095"
"4831.124577149","616.475","616.475","616.475"
"4841.046605695","613.886","613.886","613.886"
"4851.097027587","628.235","628.235","628.235"
"4861.046934441","623.887","623.887","623.887"
"4871.046297718","624.738","624.738","624.738"
"4881.067061091","626.132","626.132","626.132"
"4891.046016858","634.025","634.025","634.025"
"4901.057112802","644.811","644.811","644.811"
"4911.047647665","647.413","647.413","647.413"
"4921.08703821","471.764","471.764","471.764"
"4931.046825807","145.764","145.764","145.764"
"4941.046349758","142.629","142.629","142.629"
"4951.047076376","610.999","610.999","610.999"
"4961.095296069","618.115","618.115","618.115"
"4971.050319425","628.941","628.941","628.941"
"4981.046071304","628.583","628.583","628.583"
"4991.052156059","626.412","626.412","626.412"
"5001.053807968","632.898","632.898","632.898"
"5011.045951201","634.369","634.369","634.369"
"5021.100496111","632.643","632.643","632.643"
"5031.052331754","628.248","628.248","628.248"
"5041.045968571","627.492","627.492","627.492"
"5051.051357511","636.007","636.007","636.007"
"5061.045959329","638.099","638.099","638.099"
"5071.046378361","146.247","146.247","146.247"
"5081.114417397","142.885","142.885","142.885"
"5091.067715423","631.267","631.267","631.267"
"5101.050515902","624.497","624.497","624.497"
"5111.086009766","620.707","620.707","620.707"
"5121.046810974","631.563","631.563","631.563"
